"","Home","Away","Result","Played_Home","Won_Home","Draw_Home","Lost_Home","Goals_For_Home","Goals_Against_Home","Point_Home","Played_Away","Won_Away","Draw_Away","Lost_Away","Goals_For_Away","Goals_Against_Away","Point_Away","Year"
"1","Brazil","Belgium",1,"3","3","0","0","11","3","9","3","1","2","0","6","5","5","2002"
"2","Brazil","Turkey",1,"3","3","0","0","11","3","9","3","1","1","1","5","3","4","2002"
"3","Korea Republic","Turkey",0,"3","2","1","0","4","1","7","3","1","1","1","5","3","4","2002"
"4","Japan","Turkey",0,"3","2","1","0","5","2","7","3","1","1","1","5","3","4","2002"
"5","Senegal","Turkey",0,"3","1","2","0","5","4","5","3","1","1","1","5","3","4","2002"
"6","Denmark","England",0,"3","2","1","0","5","2","7","3","1","2","0","2","1","5","2002"
"7","England","Brazil",0,"3","1","2","0","2","1","5","3","3","0","0","11","3","9","2002"
"8","Germany","Brazil",0,"3","2","1","0","11","1","7","3","3","0","0","11","3","9","2002"
"9","Germany","Paraguay",1,"3","2","1","0","11","1","7","3","1","1","1","6","6","4","2002"
"10","Germany","USA",1,"3","2","1","0","11","1","7","3","1","1","1","5","6","4","2002"
"11","Mexico","USA",0,"3","2","1","0","4","2","7","3","1","1","1","5","6","4","2002"
"12","Spain","Korea Republic",0,"3","3","0","0","9","4","9","3","2","1","0","4","1","7","2002"
"13","Germany","Korea Republic",1,"3","2","1","0","11","1","7","3","2","1","0","4","1","7","2002"
"14","Korea Republic","Italy",1,"3","2","1","0","4","1","7","3","1","1","1","4","3","4","2002"
"15","Spain","Republic of Ireland",1,"3","3","0","0","9","4","9","3","1","2","0","5","2","5","2002"
"16","Sweden","Senegal",0,"3","1","2","0","4","3","5","3","1","2","0","5","4","5","2002"
