"","Home","Away","Result","Played_Home","Won_Home","Draw_Home","Lost_Home","Goals_For_Home","Goals_Against_Home","Point_Home","Played_Away","Won_Away","Draw_Away","Lost_Away","Goals_For_Away","Goals_Against_Away","Point_Away","Year"
"1","Argentina","Uruguay",1,"3","2","1","0","6","2","5","3","0","2","1","2","7","2","1986"
"2","Argentina","England",1,"3","2","1","0","6","2","5","3","1","1","1","3","1","3","1986"
"3","Argentina","Belgium",1,"3","2","1","0","6","2","5","3","1","1","1","5","5","3","1986"
"4","Spain","Belgium",0,"3","2","0","1","5","2","4","3","1","1","1","5","5","3","1986"
"5","France","Belgium",1,"3","2","1","0","5","1","5","3","1","1","1","5","5","3","1986"
"6","Soviet Union","Belgium",0,"3","2","1","0","9","1","5","3","1","1","1","5","5","3","1986"
"7","France","Germany FR",0,"3","2","1","0","5","1","5","3","1","1","1","3","4","3","1986"
"8","Argentina","Germany FR",1,"3","2","1","0","6","2","5","3","1","1","1","3","4","3","1986"
"9","Morocco","Germany FR",0,"3","1","2","0","3","1","4","3","1","1","1","3","4","3","1986"
"10","Brazil","France",0,"3","3","0","0","5","0","6","3","2","1","0","5","1","5","1986"
"11","Italy","France",0,"3","1","2","0","5","4","4","3","2","1","0","5","1","5","1986"
"12","Brazil","Poland",1,"3","3","0","0","5","0","6","3","1","1","1","1","3","3","1986"
"13","Denmark","Spain",0,"3","3","0","0","9","1","6","3","2","0","1","5","2","4","1986"
"14","England","Paraguay",1,"3","1","1","1","3","1","3","3","1","2","0","4","3","4","1986"
"15","Germany FR","Mexico",1,"3","1","1","1","3","4","3","3","2","1","0","4","2","5","1986"
"16","Mexico","Bulgaria",1,"3","2","1","0","4","2","5","3","0","2","1","2","4","2","1986"
