"","Home","Away","Result","Played_Home","Won_Home","Draw_Home","Lost_Home","Goals_For_Home","Goals_Against_Home","Point_Home","Played_Away","Won_Away","Draw_Away","Lost_Away","Goals_For_Away","Goals_Against_Away","Point_Away","Year"
"1","Argentina","England",1,"3","3","0","0","7","0","9","3","2","0","1","5","2","6","1998"
"2","Brazil","Chile",1,"3","2","0","1","6","3","6","3","0","3","0","4","4","3","1998"
"3","Brazil","Denmark",1,"3","2","0","1","6","3","6","3","1","1","1","3","3","4","1998"
"4","Nigeria","Denmark",0,"3","2","0","1","5","5","6","3","1","1","1","3","3","4","1998"
"5","Brazil","France",0,"3","2","0","1","6","3","6","3","3","0","0","9","1","9","1998"
"6","Italy","France",0,"3","2","1","0","7","3","7","3","3","0","0","9","1","9","1998"
"7","Brazil","Netherlands",1,"3","2","0","1","6","3","6","3","1","2","0","7","2","5","1998"
"8","France","Paraguay",1,"3","3","0","0","9","1","9","3","1","2","0","3","1","5","1998"
"9","Germany","Croatia",0,"3","2","1","0","6","2","7","3","2","0","1","4","2","6","1998"
"10","Netherlands","Croatia",0,"3","1","2","0","7","2","5","3","2","0","1","4","2","6","1998"
"11","France","Croatia",1,"3","3","0","0","9","1","9","3","2","0","1","4","2","6","1998"
"12","Romania","Croatia",0,"3","2","1","0","4","2","7","3","2","0","1","4","2","6","1998"
"13","Germany","Mexico",1,"3","2","1","0","6","2","7","3","1","2","0","7","5","5","1998"
"14","Italy","Norway",1,"3","2","1","0","7","3","7","3","1","2","0","5","4","5","1998"
"15","Netherlands","Argentina",1,"3","1","2","0","7","2","5","3","3","0","0","7","0","9","1998"
"16","Netherlands","Yugoslavia",1,"3","1","2","0","7","2","5","3","2","1","0","4","2","7","1998"
